player_slug,full_name,position,position_norm,first_season,picked_college,reason_code,distinct_candidate_colleges,scores
aaron-jones,Aaron Jones,RB,RB,2017,Texas-El Paso,0,2,"{'Eastern Kentucky': 22.5, 'Texas-El Paso': 67.5}"
adrian-peterson,Adrian Peterson,RB,RB,2007,Oklahoma,0,2,"{'Georgia Southern': 40.5, 'Oklahoma': 67.5}"
andre-johnson,Andre Johnson,WR,WR,2003,Miami,0,2,"{'Miami': 67.5, 'Penn State': 22.5}"
andrew-hawkins,Andrew Hawkins,WR,WR,2011,Toledo,1,2,"{'Texas A&M University-Kingsville': 7.5, 'Toledo': 22.5}"
antonio-brown,Antonio Brown,WR,WR,2010,Central Michigan,0,10,"{'Alabama': 7.5, 'Central Michigan': 37.5, 'Colorado': 13.5, 'Fresno State': 7.5, 'Memphis': 7.5, 'Oregon': 2.5, 'Pittsburgh': 7.5, 'Purdue': 2.5, 'Utah': 2.5, 'West Virginia': 22.5}"
antonio-bryant,Antonio Bryant,WR,WR,2002,Pittsburgh,0,3,"{'Alabama': 2.5, 'Florida State': 7.5, 'Pittsburgh': 37.5}"
antonio-gibson,Antonio Gibson,RB,RB,2020,Memphis,0,2,"{'Cincinnati': 12.5, 'Memphis': 37.5}"
brandon-marshall,Brandon Marshall,WR,WR,2006,UCF,0,2,"{'Nevada': 22.5, 'UCF': 67.5}"
cameron-newton,Cameron Newton,QB,QB,2011,Auburn,0,2,"{'Auburn': 22.5, 'Furman': 7.5}"
chad-johnson,Chad Johnson,WR,WR,2001,Oregon State,0,2,"{'Northwestern State (LA)': 22.5, 'Oregon State': 67.5}"
charles-thomas,Charles Thomas,RB,RB,2007,Tennessee State,1,2,"{'Georgia Tech': 7.5, 'Tennessee State': 13.5}"
christopher-brown,Christopher Brown,RB,RB,2003,Notre Dame,3,6,"{'Colorado': 13.5, 'Lamar': 7.5, 'Notre Dame': 15.0, 'Tennessee': 7.5, 'UAB': 7.5, 'USC': 7.5}"
christopher-johnson,Christopher Johnson,RB,RB,2008,East Carolina,0,6,"{'East Carolina': 22.5, 'Louisville': 7.5, 'North Alabama': 7.5, 'San Diego State': 7.5, 'South Dakota State': 7.5, 'University of Millersville': 7.5}"
daniel-thomas,Daniel Thomas,RB,RB,2011,Kansas State,0,2,"{'Auburn': 22.5, 'Kansas State': 67.5}"
david-johnson,David Johnson,RB,RB,2015,Northern Iowa,0,2,"{'Arkansas State': 22.5, 'Northern Iowa': 67.5}"
donald-brown,Donald Brown,RB,RB,2009,Connecticut,0,2,"{'Connecticut': 67.5, 'Maryland': 22.5}"
douglas-flutie,Douglas Flutie,QB,QB,2000,,4,0,{}
gerald-hearst,Gerald Hearst,RB,RB,2001,,4,0,{}
gustave-frerotte,Gustave Frerotte,QB,QB,2000,,4,0,{}
jacoby-jones,Jacoby Jones,WR,WR,2007,Lane College,0,2,"{'Lane College': 67.5, 'UCF': 40.5}"
james-allen,James Allen,RB,RB,2000,Oklahoma,1,2,"{'Oklahoma': 40.5, 'Oregon State': 31.5}"
james-johnson,James Johnson,QB,QB,2000,Kansas State,3,2,"{'Kansas State': 22.5, 'San Diego State': 22.5}"
james-jones,James Jones,WR,WR,2007,San Jose State,0,5,"{'Florida': 22.5, 'Mississippi State': 22.5, 'North Carolina A&T': 22.5, 'Northern Iowa': 22.5, 'San Jose State': 67.5}"
james-robinson,James Robinson,RB,RB,2020,Illinois State,1,2,"{'Butler County CC': 22.5, 'Illinois State': 40.5}"
james-stewart,James Stewart,RB,RB,2000,Miami,1,2,"{'Miami': 40.5, 'Tennessee': 40.5}"
jeffery-blake,Jeffery Blake,QB,QB,2000,,4,0,{}
jerry-rice,Jerry Rice,WR,WR,2000,Mississippi Valley State University,1,2,"{'Mississippi Valley State University': 40.5, 'UNLV': 40.5}"
jimmy-smith,Jimmy Smith,WR,WR,2000,Jackson State University,1,3,"{'Colorado': 22.5, 'Elon': 22.5, 'Jackson State University': 40.5}"
jonathan-stewart,Jonathan Stewart,RB,RB,2008,Oregon,0,2,"{'Oregon': 67.5, 'Texas A&M': 22.5}"
kevin-curtis,Kevin Curtis,WR,WR,2003,Utah State,0,2,"{'Texas Tech': 22.5, 'Utah State': 67.5}"
kevin-johnson,Kevin Johnson,WR,WR,2000,Syracuse,0,3,"{'Syracuse': 58.5, 'Texas Southern': 22.5, 'Wake Forest': 22.5}"
kevin-smith,Kevin Smith,RB,RB,2008,UCF,0,5,"{'Rhode Island': 22.5, 'Texas A&M': 22.5, 'UCF': 67.5, 'UCLA': 22.5, 'Washington': 22.5}"
lamar-jackson,Lamar Jackson,QB,QB,2018,Louisville,0,2,"{'Louisville': 67.5, 'Nebraska': 22.5}"
mark-clayton,Mark Clayton,WR,WR,2005,Oklahoma,0,2,"{'Louisville': 40.5, 'Oklahoma': 67.5}"
mark-ingram,Mark Ingram,RB,RB,2011,Alabama,0,2,"{'Alabama': 67.5, 'Michigan State': 22.5}"
marvin-harrison,Marvin Harrison,WR,WR,2000,Ohio State,1,2,"{'Ohio State': 40.5, 'Syracuse': 40.5}"
marvin-jones,Marvin Jones,WR,WR,2012,California,0,2,"{'California': 67.5, 'Florida State': 22.5}"
